# wl wmean ewmean
1.139330352228514585e+03 5.121888454765039178e+00 3.520397044222148275e-01
1.139730352228514448e+03 5.145578083262305036e+00 3.458985400672658361e-01
1.140130352228514312e+03 5.152882416222397843e+00 3.506239605924544311e-01
1.140530352228514403e+03 5.157792556445000898e+00 3.486667790582472781e-01
1.140930352228514494e+03 5.144946880336518369e+00 3.200766063600045674e-01
1.141330352228514357e+03 5.145481844015498574e+00 3.263237162593466412e-01
1.141730352228514221e+03 5.154169524564424343e+00 3.386179501460722663e-01
1.142130352228514312e+03 5.169284876246972971e+00 3.400509512737983076e-01
1.142530352228514403e+03 5.144104633650368186e+00 3.415848761437830783e-01
1.142930352228514266e+03 5.111360034982961764e+00 3.297666143848874687e-01
1.143330352228514130e+03 5.133023855130591784e+00 3.465175843075735673e-01
1.143730352228514221e+03 5.131490591962561965e+00 3.388479647038752929e-01
1.144130352228514312e+03 5.126229537426295835e+00 3.439929952170442395e-01
1.144530352228514175e+03 5.141851526539285011e+00 3.456388840110970473e-01
1.144930352228514039e+03 5.123600925567337150e+00 3.401366619682875125e-01
1.145330352228514130e+03 5.129232936139248800e+00 3.377585039490052510e-01
1.145730352228514221e+03 5.212834157422681081e+00 3.235949719033850425e-01
1.146130352228514084e+03 5.139962293464171772e+00 3.406126967692109098e-01
1.146530352228513948e+03 5.157155548101887810e+00 3.449308964419787737e-01
1.146930352228514039e+03 5.162450569677128343e+00 3.418391256369816555e-01
1.147330352228514130e+03 5.165934576637736697e+00 3.325004418656466454e-01
1.147730352228513993e+03 5.157244966305984057e+00 3.100655232114961635e-01
1.148130352228513857e+03 5.191283181618143061e+00 3.408745818886059209e-01
1.148530352228513948e+03 5.234379402524178992e+00 3.407150031187022310e-01
1.148930352228514039e+03 5.209431709983496361e+00 3.384432989575127948e-01
1.149330352228513902e+03 5.209528415938764923e+00 3.098134144666042089e-01
1.149730352228513766e+03 5.253279988162570469e+00 3.455829688336296557e-01
1.150130352228513857e+03 5.263906293470624220e+00 3.380249577361309488e-01
1.150530352228513948e+03 5.316440239641171850e+00 3.344945346964030564e-01
1.150930352228513811e+03 5.326151000206158947e+00 3.342724988561657229e-01
1.151330352228513675e+03 5.321555105988694301e+00 3.384219009026612768e-01
1.151730352228513766e+03 5.223082189344739668e+00 3.361381360095320736e-01
1.152130352228513857e+03 5.222494987977240655e+00 3.421160184224389389e-01
1.152530352228513721e+03 5.206646493683886767e+00 3.420370983816555799e-01
1.152930352228513584e+03 5.209061678464737000e+00 3.521041043628712064e-01
1.153330352228513675e+03 5.160656743295629845e+00 3.265627562212885526e-01
1.153730352228513766e+03 5.171302113137051570e+00 3.458725453573618380e-01
1.154130352228513630e+03 5.167226966975894342e+00 3.504575414992386895e-01
1.154530352228513493e+03 5.181845716939563751e+00 3.624178319730314013e-01
